Kingdom	Turns	Player Won	Opponent VP	Player VP	Runtime
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	11	0.035215
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	14	0.036009
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	17	0.038773
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	20	0.040207
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	20	0.042889
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	23	0.042772
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	20	0.042390
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	17	0.039139
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	25	0	51	17	0.039697
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	25	0	51	17	0.036535
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	26	0.040219
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	14	0.040502
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	14	0.040598
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	35	0	51	17	0.045991
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	17	0.042292
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	14	0.040246
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	30	0	51	17	0.043062
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	11	0.035843
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	11	0.037102
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	26	0.045924
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	25	0	51	17	0.038643
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	23	0.039941
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	26	0.047386
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	23	0.038541
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	31	0	51	23	0.040541
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	20	0.040965
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	25	0	51	17	0.034939
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	14	0.040728
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	17	0.037109
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	23	0.041962
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	30	0	51	26	0.051804
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	17	0.040216
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	31	0	51	20	0.042302
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	17	0.040458
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	24	0	51	17	0.039062
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	24	0	51	23	0.036971
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	25	0	51	20	0.034448
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	17	0.071942
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	26	0.052158
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	32	0	51	23	0.045584
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	14	0.033481
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	11	0.038406
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	20	0.042547
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	20	0.044070
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	31	0	51	17	0.040585
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	27	0	51	7	0.042388
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	11	0.045282
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	14	0.042681
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	14	0.037689
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	30	0	51	14	0.037700
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	14	0.035688
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	11	0.036612
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	26	0	51	11	0.039202
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	30	0	51	20	0.045660
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	24	0	51	11	0.032445
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	17	0.041098
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	28	0	51	14	0.037822
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	17	0.044050
{0: 30, 1: 30, 2: 30, 3: 8, 4: 8, 5: 8, 6: 0}	29	0	51	11	0.041142
